Case 1: Learning rate = 0.001
Sess 38/10000 1024 iters: loss 0.029993
Sess 39/10000 1024 iters: loss 0.032130
Sess 40/10000 1024 iters: loss 0.047552
Sess 41/10000 1024 iters: loss 0.032146
Sess 42/10000 1024 iters: loss 0.046174
Sess 43/10000 1024 iters: loss 0.041443
Sess 44/10000 1024 iters: loss 0.037137
Sess 45/10000 1024 iters: loss 0.048639
Sess 46/10000 1024 iters: loss 0.060262
Sess 47/10000 1024 iters: loss 0.052468
Sess 48/10000 1024 iters: loss 0.045190
Sess 49/10000 1024 iters: loss 0.061453
Sess 50/10000 1024 iters: loss 0.049156
Sess 51/10000 1024 iters: loss 0.056325
Sess 52/10000 1024 iters: loss 0.043869
Sess 53/10000 1024 iters: loss 0.034843
Sess 54/10000 1024 iters: loss 0.025542
Sess 55/10000 1024 iters: loss 0.020386
Sess 56/10000 1024 iters: loss 0.026069
Sess 57/10000 1024 iters: loss 0.016439
Sess 58/10000 1024 iters: loss 0.034733
Sess 59/10000 1024 iters: loss 0.061099
Sess 60/10000 1024 iters: loss 0.050303
Sess 61/10000 1024 iters: loss 0.066850
Sess 62/10000 1024 iters: loss 0.037197
Sess 63/10000 1024 iters: loss 0.036290
Sess 64/10000 1024 iters: loss 0.053621
Sess 65/10000 1024 iters: loss 0.111971
Sess 66/10000 1024 iters: loss 0.127589
Sess 67/10000 1024 iters: loss 0.229624
Sess 68/10000 1024 iters: loss 0.280126
Sess 69/10000 1024 iters: loss 0.297522
Sess 70/10000 1024 iters: loss 0.174968
Sess 71/10000 1024 iters: loss 0.110488
Sess 72/10000 1024 iters: loss 0.120949
Sess 73/10000 1024 iters: loss 0.078909
Sess 74/10000 1024 iters: loss 0.098528
Sess 75/10000 1024 iters: loss 0.082440
Sess 76/10000 1024 iters: loss 0.086349
Sess 77/10000 1024 iters: loss 0.073374
Sess 78/10000 1024 iters: loss 0.081376
Sess 79/10000 1024 iters: loss 0.077283
Sess 80/10000 1024 iters: loss 0.101208
Sess 81/10000 1024 iters: loss 0.106717
Sess 82/10000 1024 iters: loss 0.047277
Sess 83/10000 1024 iters: loss 0.218548
Sess 84/10000 1024 iters: loss 0.046382
Sess 85/10000 1024 iters: loss 0.034781
Sess 86/10000 1024 iters: loss 0.031469
Sess 87/10000 1024 iters: loss 0.032997
Sess 88/10000 1024 iters: loss 0.032264
Sess 89/10000 1024 iters: loss 0.034017
Sess 90/10000 1024 iters: loss 0.030642
Sess 91/10000 1024 iters: loss 0.036561
Sess 92/10000 1024 iters: loss 0.033234
Sess 93/10000 1024 iters: loss 0.037039
Sess 94/10000 1024 iters: loss 0.037963
Sess 95/10000 1024 iters: loss 0.039494
Sess 96/10000 1024 iters: loss 0.035196
Sess 97/10000 1024 iters: loss 0.040554
Sess 98/10000 1024 iters: loss 0.036874
Sess 99/10000 1024 iters: loss 0.036442
Sess 100/10000 1024 iters: loss 0.033028

Case 3: Learning rate = 0.01

Sess 1/10000 1024 iters: loss 0.032023
Sess 2/10000 1024 iters: loss 0.029181
Sess 3/10000 1024 iters: loss 0.093803
